sep=;
#; CourseCode; CourseTitle; section; time; date; instructor; credit
1; ANTH 101; Introduction Cultural Anthropology; A; 12:00 PM - 1:15 PM; R; Claudia Launhardt; 3.00
2; ANTH 101; Introduction Cultural Anthropology; GX; 12:00 AM - 12:01 AM; ; Ruth Anaya; 3.00
3; ANTH 101; Introduction Cultural Anthropology; IR; 1:00 PM - 4:00 PM; ; Claudia Launhardt; 3.00
4; ANTH 210; Islamic Culture; A; 6:15 PM - 9:00 PM; ; Claudia Launhardt; 3.00
5; ANTH 395; Indigenous Peoples in Canada; A; 4:30 PM - 5:45 PM; R; Claudia Launhardt; 3.00
6; ANTH 452; Leadership in Multicultural Context; IS; 12:00 AM - 12:01 AM; ; Ruth Anaya; 3.00
7; ART 180; Integration Forum; A; 6:15 PM - 9:00 PM; ; Alysha Creighton; .00
8; ART 181; Visual Foundations I; A; 12:00 PM - 2:45 PM; ; Erica Grimm; 3.00
9; ART 181; Visual Foundations I; B; 3:00 PM - 5:45 PM; ; Alysha Creighton; 3.00
10; ART 181; Visual Foundations I; C; 6:15 PM - 9:00 PM; ; Olivia Perry; 3.00
11; ART 182; Visual Foundations II; A; 12:00 PM - 2:45 PM; ; Russell Leng; 3.00
12; ART 182; Visual Foundations II; B; 12:00 PM - 2:45 PM; ; Russell Leng; 3.00
13; ART 230; Photography; A; 12:00 PM - 2:45 PM; ; Helma Sawatzky; 3.00
14; ART 238; History of Western Art II; A; 3:00 PM - 4:15 PM; R; Cindie Chaise; 3.00
15; ART 250; Fundamentals in Digital Design; A; 8:00 AM - 10:45 AM; ; John Wang; 3.00
16; ART 250; Fundamentals in Digital Design; B; 8:00 AM - 10:45 AM; ; John Wang; 3.00
17; ART 250; Fundamentals in Digital Design; C; 3:00 PM - 5:45 PM; ; John Wang; 3.00
18; ART 305; Art Field Placement; A; 6:15 PM - 9:00 PM; ; Russell Leng; 1.00
19; ART 306; Art Field Placement; A; 6:15 PM - 9:00 PM; ; Russell Leng; 2.00
20; ART 307; Art Field Placement; A; 6:15 PM - 9:00 PM; ; Russell Leng; 3.00
21; ART 310; Drawing; A; 3:00 PM - 5:45 PM; ; Erica Grimm; 3.00
22; ART 321; Abstract Painting; A; 3:00 PM - 5:45 PM; ; Russell Leng; 3.00
23; ART 328; Modern Art History; A; 3:00 PM - 5:45 PM; ; Brittany Burdick; 3.00
24; ART 332; Advanced Animation Projects; A; 3:00 PM - 5:45 PM; ; John Wang; 3.00
25; ART 363; Format & Layout Design; A; 12:00 PM - 2:45 PM; ; Joshua Hale; 3.00
26; ART 364; Interaction Design; A; 3:00 PM - 5:45 PM; ; Joshua Hale; 3.00
27; ART 370; Professional Practices; A; 12:00 PM - 2:45 PM; ; Helma Sawatzky; 3.00
28; ART 410; Drawing IV; A; 3:00 PM - 5:45 PM; ; Erica Grimm; 3.00
29; ART 412; Senior Studio II; A; 3:00 PM - 5:45 PM; ; Alysha Creighton; 3.00
30; ART 421; Advanced Painting; A; 3:00 PM - 5:45 PM; ; Russell Leng; 3.00
31; ART 495; Mentoring Tutorial (Honours Proj); A; 6:15 PM - 9:00 PM; ; Russell Leng; 3.00
32; SAMC 111; Critical Issues in the Arts; A; 9:30 AM - 10:45 AM; ; Becky Martin; 3.00
33; SAMC 111; Discussion Group for SAMC 111; A   D1; 12:00 PM - 12:50 PM; ; Alysha Creighton; .00
34; SAMC 111; Discussion Group for SAMC 111; A   D2; 12:00 PM - 12:50 PM; ; Becky Martin; .00
35; SAMC 111; Discussion Group for SAMC 111; A   D3; 1:30 PM - 2:20 PM; ; Joel Tranquilla; .00
